ENGLISH,TRANSLATED HINDI,,corrected hindi 
what is the cheapest flight from boston to bwi,"क्या है बोस्टन से सबसे सस्ती उड़ान क्या है,",,"बोस्टन से सबसे सस्ती उड़ान क्या है,"
all flights to baltimore after 6 pm,6 बजे के बाद बाल्टिमोर की सभी उड़ानें,,छै बजे के बाद से बाल्टिमोर की सभी उड़ानें
show me the first class fares from boston to denver,मुझे दिखाती हैं कि मुझे बोस्टन से डेनवर का पहला वर्ग किराया,,मुझे बोस्टन से डेनवर के लिए पहले वर्ग का किराया दिखाए
show me the ground transportation in denver,"दिखाता है, मुझे",,डेन्वेर की ज़मिन परिवाहन दिखाए
all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,डेनवर से पिट्सबर्ग से सभी उड़ानें 6 बजे के बाद छोड़कर जमीन परिवहन और 7 बजे से पहले,,डेनवर से पिट्सबर्ग की सभी उड़ानें छै बजे के बाद और सात बजे से पहले
i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,मुझे डलास डलास के लिए बोल्टिमोर छोड़ने के लिए बाल्टिमोर छोड़ने के लिए उड़ानों पर जानकारी की आवश्यकता है और बोस्टनम बोस्टन से बोल्टिमोर,,"मझे ट्यूसडे को छोड़ने वाली उड़ानों की जानकारी की ज़रूरत हैं जो बाल्टिमोर से डलास और डलास से बोस्टन ,बोस्टन से बाल्टिमोर जाती है"
please give me the flights from boston to pittsburgh on thursday of next week,"कृपया मुझे अगले सप्ताह के गुरुवार को पिस्टन से पिट्सबर्ग तक उड़ानें दें,",,"कृपया मुझे अगले सप्ताह के गुरुवार को पिस्टन से पिट्सबर्ग तक उड़ानों की जानकारी दें,"
i would like to fly from denver to pittsburgh on united airlines,मैं संयुक्त एयरलाइनों पर डेनवर से पिट्सबर्ग तक उड़ान भरना चाहता हूं,,मैं यूनाइटेड एयरलाइनों पर डेनवर से पिट्सबर्ग तक उड़ान भरना चाहता हूं
show me the flights from san diego to newark,मुझे सैन डिएगो से नवार्क तक उड़ानें दिखाएं,,मुझे सैन डिएगो से नवार्क तक उड़ानें दिखाएं
please list all first class flights on united from denver to baltimore,कृपया सूची डेनवर से बाल्टिमोर तक एकजुट होने वाली सभी प्रथम श्रेणी की उड़ानें,,कृपया प्रथम श्रेणी की सभी उड़ानों को डेनवर से बाल्टिमोर तक एकजुट करें
what kinds of planes are used by american airlines,अमेरिकी एयरलाइंस द्वारा किस प्रकार के विमानों का उपयोग किया जाता है,,अमेरिकी एयरलाइंस द्वारा किस प्रकार के विमानों का उपयोग किया जाता है
i 'd like to have some information on a ticket from denver to pittsburgh and atlanta,मुझे डेनवर से पिट्सबर्ग तक टिकट पर कुछ जानकारी चाहिए और अटलांटा,,मुझे डेनवर से पिट्सबर्ग और अटलांटा तक के टिकट पर कुछ जानकारी चाहिए
i 'd like to book a flight from atlanta to denver,मैं अटलांटा से डेनवर की उड़ान बुक करना,,मैं अटलांटा से डेनवर तक की उड़ान बुक करना
which airline serves denver pittsburgh and atlanta,"चाहता हूं,",,कौन सी एयरलाइन डेनवर पिट्सबर्ग और एटलैंटा में कार्य करती है
show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,जो एयरलाइन डेनवर पिट्सबर्ग और अटलांटा की सेवा करती है अगले सप्ताह के बुधवार को बोस्टन से पिट्सबर्ग तक की सभी उड़ानें जो 2 बजे के बाद,,मुझे अगले सप्ताह के वेडनसडे को बोस्टोन से पिट्सबर्ग तक सभी उड़ानें दिखाएं जो दोपहर दो बजे के बाद बॉस्टन छोड़ दें
atlanta ground transportation,अटलांटा ग्राउंड ट्रांसपोर्ट के बाद बोस्टन छोड़ती,,अटलांटा ग्राउंड ट्रांसपोर्ट के बाद बोस्टन छोड़ती
i also need service from dallas to boston arriving by noon,"हैं, मुझे",,मुझे दोपहर तक आने वाले डलास से बोस्टोन तक भी सेवा की आवश्यकता है
show me the cheapest round trip fare from baltimore to dallas,"दोपहर तक पहुंचने के लिए डलास से बोस्टन तक सेवा की भी आवश्यकता है, मुझे दिखाएं कि मुझे बाल्टिमोर से डलास तक सबसे सस्ता दौर यात्रा किराया",,मुझे बैल्टिमोर से डलास तक का सबसे सस्ता राउंड ट्रिप का किराया दिखाओ
show me all flights from new york to milwaukee on northwest airlines departing at 720 am,दिखाएं उत्तर-पश्चिम एयरलाइंस पर मिल्वौकी के लिए न्यू यॉर्क,,मुझे सुबह सात बज के बिष मिनट पर न्यू यार्क से उत्तर पश्चिम एयरलाइंस पर मिलवॉकी के लिए सभी उड़ानें दिखाएं
flights from new york to miami,", न्यू यॉर्क से मियामी तक 720 बजे उड़ान भर रहा है",,न्यू यॉर्क से मियामी तक की उड़ानें
please find a flight on delta from philadelphia to san francisco and give me the flight numbers,कृपया फिलाडेल्फिया से सैन फ्रांसिस्को से डेल्टा पर उड़ान भरें और मुझे उड़ान संख्या दें मुझे,,कृपया फिलाडेल्फिया से सैन फ्रांसिस्को के लिए डेल्टा पर एक उड़ान खोजें और मुझे उड़ान संख्या दें
i need a flight from dallas to san francisco,डलास से सैन फ्रांसिस्को तक उड़ान की आवश्यकता है,,डलास से सैन फ्रांसिस्को तक उड़ान की आवश्यकता है
fares and flights from pittsburgh to philadelphia,पिट्सबर्ग से फिलाडेल्फिया के किराए और उड़ानें,,पिट्सबर्ग से फिलाडेल्फिया के किराए और उड़ानें
show me the airlines with first class flights,मुझे प्रथम श्रेणी की उड़ानों वाली एयरलाइंस दिखाती हैं,,मुझे प्रथम श्रेणी की उड़ानों के साथ एयरलाइंस दिखाओ
what are the flights from st. louis to burbank sunday evening,जो सेंट से उड़ानें हैं। लुईस टू बर्बंक रविवार शाम,,कौन सी उड़ने जो सेंट लुईस से बर्बंक रविवार शाम को हैं
i 'd like to arrange a flight from pittsburgh to atlanta,"मैं पिट्सबर्ग से अटलांटा तक उड़ान की व्यवस्था करना चाहता हूं, बाल्टिमोर",,"मैं पिट्सबर्ग से अटलांटा तक उड़ान की व्यवस्था करना चाहता हूं,"
show flights from baltimore to san francisco between 6 pm and 8 pm on friday,से सैन फ्रांसिस्को तक उड़ानें 6 बजे से शाम 8 बजे के बीच उड़ानें शुक्रवार,,शुक्रवार शाम छै बजे से आठ बजे के बीच बाल्टिमोर से सैन फ्रेंकोसिस्को के लिए उड़ानें दिखाएँ
how far is it from orlando airport to orlando,"को ऑरलैंडो हवाई अड्डे से ऑरलैंडो तक कितनी दूर है,",,ऑरलैंडो एयरपोर्ट से ऑरलैंडो कितनी दूर है
i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december,मैं राउंड ट्रिप उड़ानों की सूची चाहूंगा इंडियानापोलिस और ऑरलैंडो फ्लोरिडा के बीच बीसवीं और बीसवीं दिसंबर के लिए,,मैं राउंड ट्रिप उड़ानों की सूची चाहूंगा इंडियानापोलिस और ऑरलैंडो फ्लोरिडा के बीच सताइश और अठाइस दिसंबर के लिए
which airline has the most arrivals in atlanta,"जो एयरलाइन में अटलांटा में सबसे ज्यादा आगमन है,",,"जिस एयरलाइन की अटलांटा में सबसे ज्यादा आगमन है,"
what airlines fly from new york to milwaukee to los angeles,"जो एयरलाइंस न्यू यॉर्क से मिल्वौकी से लॉस एंजिल्स तक उड़ान भरती हैं,",,"जो एयरलाइंस न्यू यॉर्क से मिल्वौकी से लॉस एंजिल्स तक उड़ान भरती हैं,"
pittsburgh to denver,पिट्सबर्ग से,,पिट्सबर्ग से डेन्वेर
which airlines serve atlanta,जो एयरलाइनें अटलांटा की सेवा करती,,कौन सी एयरलाइंस एटलैंटा की सेवा करती हैं
show me information on ground transportation for dallas,हैं मुझे डलास के लिए जमीन परिवहन पर जानकारी दिखाती,,मुझे डलास के लिए भूमि परिवहन के बारे में जानकारी दिखाएं
what is fare code h,है किराया कोड क्या है ज,,किराया कोड क्या है
show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,मुझे दोपहर से पहले आने वाले बोस्टन से डलास किले की सभी उड़ानें दिखाएं और दोपहर से पहले आने वाले कनेक्टिंग को,,मुझे बोस्टोन से डलास किले तक की सभी उड़ानें प्रत्यक्ष और कनेक्ट करने लायक है जो दोपहर से पहले आती हैं
i need a flight from charlotte to newark leaving today evening,"मुझे आज शाम छोड़ने के लिए चार्लोटे से न्यूकार्क की उड़ान की आवश्यकता है,",,मुझे आज शाम को चार्लोट से नेवार्क की उड़ान की आवश्यकता है
what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,जो समय है कि आपके पास सैन फ्रांसिस्को से निकलने वाले,,क्या समय है कि आपके पास जेट फ्रैंक सातवें पर पिट्सबर्ग जाने वाले सैन फ्रांसिस्को से प्रस्थान करने वाले विमान हैं
flights from newark to cleveland,विमानों को नेवार्क से जुलाई सातवीं उड़ानों पर पिट्सबर्ग जाना है क्लीवलैंड,,न्यू यॉर्क से क्लीवलैंड के लिए उड़ानें
what flights go from boston to pittsburgh after 6 o'clock next tuesday,"और बोस्टन से पिट्सबर्ग तक कौन सी उड़ानें अगले 6 बजे के बाद चलती हैं, अगले दिन ट्यूट्सबर्ग",,बस्टन से पिट्सबर्ग जाने वाली फ्लाइट्स अगले दिन छै बजे के बाद जाती हैं
how much does the limousine service cost within pittsburgh,"सेवा के भीतर लिमोसिन सेवा की लागत कितनी है,",,पिट्सबर्ग के भीतर लिमोसिन सेवा की लागत कितनी है
does us air have any flights out of atlanta to denver,क्या हमें हवाईअड्डे से बाहर निकलने के लिए अटलांटा से बाहर की,,क्या U S की कोई भी फ्लाइट है जो एटलैंटा से निकली है
what is booking class c,कक्षाओं की बुकिंग के,,कक्षा सी क्या है
i 'd like to know the shortest trip between boston and san francisco,डेनवर से अटलांटा तक की सबसे कम महंगी उड़ान क्या है,,मैं बस्टन और सैन फ्रांसिस्को के बीच की सबसे छोटी यात्रा जानना चाहता हूं
i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,करना चाहते हैं i ' बोस्टन और सैन फ्रांसिस्को के बीच सबसे छोटी यात्रा पता है,,मैं सोमवार दोपहर बारह बजे पिट्सबर्ग के बाद सैन फ्रांसिस्को से उड़ानों के लिए जानकारी देखना चाहूंगा
what is the least expensive flight from denver to atlanta,मैं सोमवार को पिट्सबर्ग में 12 बजे के बाद सैन फ्रांसिस्को से उड़ानों के लिए जानकारी देखना चाहता,,डेनवर से अट्लंता तक कम से कम महंगी उड़ान क्या है
i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,"हूं, मुझे टुडेडे शाम को डलास छोड़ने वाली उड़ानों के लिए जानकारी जाननी चाहिए और अटलांटा लौटने के लिए",,मुझे रविवार शाम को डलास से रवाना होने वाली और अतलता लौटने वाली उड़ानों के लिए जानकारी जानना आवश्यक है
what flight goes from denver to baltimore first class on united airlines arriving on may seventh,"डेनवर से बाल्टिमोर की पहली कक्षा में कौन सी उड़ानें मिल सकती हैं, सातवीं",,क्या सातवें मई पर आने वाली उड़ान यूनाइटेड एयरलाइंस पर प्रथम श्रेणी से बेलीमोर तक जाती है
could you please tell me the airlines that fly from toronto to san diego,क्या आप कृपया मुझे उन एयरलाइंस को बता सकते हैं जो टोरंटो से सैन डिएगो,,क्या आप कृपया मुझे उन एयरलाइंस के बारे मैं बता सकते हैं जो टोरंटो से सैन डिएगो जाती हैं
what flights do you have from burbank to tacoma washington,"तक उड़ते हैं, आपको बर्बैंक से टैकोमा वाशिंगटन में",,आपके पास बरबैंक से टैकोमा वॉशिंगटन के लिए कौन सी उड़ानें हैं
what is the ground transportation from philadelphia airport to the city proper,"कौन सी उड़ानें मिलती हैं , फिलाडेल्फिया हवाई अड्डे से जमीन पर परिवहन क्या है,",,फिलाडेल्फिया हवाई अड्डे से शहर के लिए उचित भूमि परिवहन क्या है
which airlines have first class flights today,जो एयरलाइंस की पहली श्रेणी की उड़ानें आज,,किन एयरलाइनों के पास आज प्रथम श्रेणी की उड़ानें हैं
find the latest flight from san francisco to atlanta that serves a meal,से सैन उड़ान से मिलती हैं फ्रांसिस्को से अटलांटा जो भोजन परोसता है,,सैन फ्रांसिस्को से एटलांटा के लिए लेटेस्ट फ्लाइट खोजें जो भोजन परोसता है
i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,मैं इस आने वाले रविवार को फिलाडेल्फिया से डेनवर के लिए एक उड़ान के लिए आरक्षण करना चाहता हूं,,मैं इस आने वाले रविवार को फिलाडेल्फिया से डेनवर के लिए उड़ान के लिए आरक्षण करना चाहता हूं
give me a list of airports in baltimore,"मुझे बाल्टिमोर में हवाई अड्डों की एक सूची दें, मुझे",,"मुझे बाल्टिमोर में हवाई अड्डों की एक सूची दें,"
show me flights from boston to denver on wednesday,"बुधवार को बोस्टन से डेनवर तक उड़ानें दिखाएं,",,"बुधवार को बोस्टन से डेनवर तक की उड़ानें दिखाएं,"
show me the flights from boston to baltimore,"उड़ता है, जो डेनवर से सैन फ्रांसिस्को तक उड़ानें उड़ती हैं सोमवार को बुधवार बुधवार और शुक्रवार",,मुझे बोस्टन से बाल्टिमोर तक की उड़ानें दिखाएं
what does fare code q mean,मुझे बोस्टन से बाल्टिमोर की उड़ानें दिखाते हैं,,किराया कोड क्यू का मतलब क्या है
please give me the flights from san francisco to washington dc,किराया कोड क्यू का मतलब क्या है,,कृपया मुझे सैन फ्रांसिस्को से वॉशिंगटन डीसी तक की उड़ानें दें
i need information from denver to pittsburgh,"कृपया मुझे सैन फ्रांसिस्को से वाशिंगटन डीसी तक उड़ानें दें, मुझे",,मुझे डेनवर से पिट्सबर्ग तक की जानकारी चाहिए
from seattle to salt lake city,डेनवर से पिट्सबर्ग,,सिएटल से साल्ट लेक सिटी तक
what is the earliest flight from boston to bwi that serves a snack,से सिएटल से नमक झील शहर की जानकारी,,बस्टन से बीवी तक की सबसे शुरुआती उड़ान कौन सी है जो स्नैक परोसती है
what types of aircraft does delta fly,"चाहिए, जो बोस्टन से बीवीआई की सबसे पुरानी उड़ान है जो एक स्नैक परोसता है,",,डेल्टा किस प्रकार का विमान उड़ाता है
what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,किस प्रकार के विमान डेल्टा उड़ते हैं,,"पिट्सबर्ग से एटलांटा पर शुरू होने वाली एक गोल यात्रा उड़ान की लागत क्या है, जो पच्चीसवी अप्रैल पर सुरु होती हैं और छै मई को लौटती है"
give me the flights leaving denver august ninth coming back to boston,", पिट्सबर्ग से अटलांटा तक राउंड ट्रिप उड़ान अप्रैल बीसवीं की शुरुआत से और छठी छठी पर लौटने",,मुझे डेन्वर अगस्त नौव को वापस आने वाली उड़ानें दे
list all the flights that fly into general mitchell international,,,उन सभी उड़ानों की सूची दें जो सामान्य मितली अंतर्राष्ट्रीय में उड़ान भरती हैं
what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday,"हैं, जो कि सामान्य मिशेल अंतरराष्ट्रीय",,सोमवार मंगलवार बुधवार वृहस्पतिवार और शुक्रवार को डेनवर से सैन फ्रैंसिस्को के लिए कौन सी फ्लाइट्स उड़ान भरेंगी
list all flights from indianapolis to seattle,में उड़ान भरने वाली उड़ान भोजन ओकलैंड में फिलाडेल्फिया शनिवार को,,इंडियनपोलिस से सिएटल तक सभी फ्लाइट्स को सूचीबद्ध करें
in flight meal oakland to philadelphia saturday,मुझे सुबह सुबह अटलांटा से उड़ानें दिखाती हैं,,उड़ान भोजन ओकलैंड में फिलाडेल्फिया शनिवार को
show me the flights on twa from atlanta in the morning,"इंडियानापोलिस से सिएटल तक की सभी उड़ानों को सूचीबद्ध करें,",,मुझे शुबह की एटलांटा से तवा पर उड़ानें दिखाओ
i want to find the first flight from baltimore to boston that serves a meal,मैं बाल्टीमोर से बोस्टन तक पहली उड़ान ढूंढना चाहता हूं,,मैं बाल्टिमोर से बोस्टोन के लिए पहली उड़ान खोजना चाहता हूं जो भोजन परोसता है
of all airlines which airline has the most arrivals in atlanta,"जो सभी एयरलाइंस के भोजन परोसता है, जो एयरलाइन में अटलांटा में सबसे अधिक आगमन है, बाल्टिमोर",,सभी एयरलाइनों में से कौन सी एयरलाइन की सबसे अधिक आवक है एटलांटा मैं
display all flights from baltimore to boston on july twenty ninth,से बोस्टन तक सभी उड़ानें जुलाई में बीसवीं पर,,बल्टीमोर से बोस्टोन तक की सभी फ्लाइट्स को सोलहवें नम्बर पर प्रदर्शित करें
i want to travel from atlanta to baltimore early in the morning first flight,मैं अटलांटा से यात्रा करना चाहता हूं सुबह की पहली उड़ान में बाल्टिमोर के लिए,,मैं सुबह की पहली उड़ान में अटालंता से बाल्टिमोर तक की यात्रा करना चाहता हूँ
i now need a flight from san jose to houston leaving on sunday the fourth,"मुझे अब सैन जोस से हॉस्टन तक उड़ान की जरूरत है, चौथे रविवार को",,अब मुझे चौथे रविवार को सैन जोस से हॉस्टन जाने वाली उड़ान की आवश्यकता है
what are the flights available after 6 pm between san francisco and boston,सैन फ्रांसिस्को और बोस्टन के बीच,,सैन फ्रांसिस्को और बॉस्टन के बीच शाम छै बजे के बाद क्या उड़ानें उपलब्ध हैं
what flights depart baltimore on friday and arrive in san francisco by 8 pm,"उड़ानें क्या हैं, जो उड़ानें शुक्रवार को बाल्टिमोर से निकलती हैं और सैन फ्रांसिस्को में 8 बजे तक पहुंचती हैं",,क्या उड़ानें शुक्रवार को बाल्टिमोर से प्रस्थान करती हैं और रात आठ बजे तक सैन फ्रांसिस्को पहुंचती हैं
show me flights from boston to san francisco,मुझे बोस्टन से सैन फ्रांसिस्को,,मुझे बोस्टन से सैन फ्रांसिस्को जाने वाली फ्लाइट दिखाएं
list the delta airlines flights from boston to philadelphia,सूची में उड़ानें,,बॉस्टन से फिलाडेल्फिया के लिए डेल्टा एयरलाइंस की उड़ानों की सूची
show me the fares from dallas to san francisco,दिखाएं डेल्टा एयरलाइंस की उड़ान बोस्टन से फिलाडेल्फिया तक की उड़ानें मुझे डलास से सैन फ्रांसिस्को के किराए दिखाएं,,मुझे डलास से सैन फ्रांसिस्को के लिए किराए दिखाओ
what nonstop flights between boston and washington arrive after 4 o'clock pm,बोस्टन और वाशिंगटन के बीच क्या नॉनस्टॉप उड़ानें 4 बजे के बाद आती हैं,,बूस्टोन और वॉशिंगटन के बीच नॉनस्टॉप उड़ानें शाम चार बजे के बाद आती हैं
what is the distance from los angeles international airport to los angeles,है बोस्टन से सैन फ्रांसिस्को की उड़ानें जो अटलांटा में रुकती हैं,,लॉस एंजिल्स अंतरराष्ट्रीय हवाई अड्डे से लॉस एंजिल्स के लिए दूरी क्या है
ground transportation in san jose,सैन जोस में,,सैन जोस में जमीनी परिवहन
please tell me how many nonstop flights there are from boston to atlanta,लॉस एंजिल्स भूमि परिवहन के लिए लॉस एंजिल्स अंतरराष्ट्रीय हवाई अड्डे से दूरी क्या है,,कृपया मुझे बताएं कि बोस्टोन से अट्लंता तक कितनी नॉनस्टॉप उड़ानें हैं
on the earliest flight from san francisco to atlanta on delta is a meal being served,कृपया मुझे बताएं कि,,डेल्टा पर सैन फ्रेंकोस्को से अट्लंता तक की शुरुआती उड़ान भोजन परोसती हैं
where does canadian airlines international fly,"सैन फ्रांसिस्को से अटलांटा से सबसे पहले उड़ान पर बोस्टन से अटलांटा तक कितनी नॉनस्टॉप उड़ानें हैं , एक भोजन है",,कनाडा की एयरलाइंस इंटरनेशनल फ्लाइट कहां उड़ती है
what flights from denver to pittsburgh arrive before 8 in the morning,जहां कैनेडियन एयरलाइंस अंतरराष्ट्रीय,,डेनवर से पिट्सबर्ग के लिए सुबह आठ बजे से पहले कौन सी फ्लाइट आती है
find me the earliest flight from boston to atlanta,उड़ानें डेनवर से पिट्सबर्ग तक की उड़ानें सुबह 8 बजे से पहले आती,,बोस्टोन से अट्लंता तक की सबसे पहली उड़ान मुझे मिली
list nonstop flights from houston to dallas which arrive before midnight,"हैं, मुझे बोस्टन से अटलांटा की",,हॉस्टन से डलास के लिए नॉनस्टॉप उड़ानों की सूची जो आधी रात से पहले आती है
show me the flights from boston to san francisco that stop in atlanta,सूची में सबसे पुरानी उड़ान मिलती है जो हॉस्टन से डलास तक नॉनस्टॉप उड़ानें मिलती है जो मध्यरात्रि से पहले पहुंचती है,,मुझे बोस्टोन से सैन फ्रान्सिस्को तक की उड़ानें दिखाए जो अट्लंता में रुकती हैं
show me flights to san francisco from philadelphia stopping in dallas,से हवाई अड्डे क्या है टैको में,,मुझे डलास में रुकने वालीं फिलाडेल्फिया से सैन फ्रांसिस्को के लिए उड़ानें दिखाओ
what city is the airport mco in,कार किराए पर लेने के लिए कितना खर्च होता है,,किस शहर में हवाई अड्डा mco है
how much does it cost to rent a car in tacoma,मुझे डलास में रुकने वाले फिलाडेल्फिया से सैन फ्रांसिस्को की,,टैकोमा में कार किराए पर लेने में कितना खर्च होता है
show me flights from baltimore to dallas,उड़ानें दिखाएं मुझे दिखाएं कि मुझे बाल्टिमोर से डलास तक उड़ानें,,मुझे बाल्टिमोर से डलास तक की उड़ानें दिखाएं
show me a list of ground transportation at denver,"दिखाती हैं, मुझे डेनवर पर जमीन परिवहन की एक सूची दिखाती है,",,मुझे डेनवर में ग्राउंड ट्रांसपोर्टेशन की एक सूची दिखाएं
i 'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what 's available,मैं कोलम्बस से फीनिक्स में फिनिक्स से सिनसिनाटी में रुकने और रात्रिभोज की सेवा करने की पेशकश करता,,मैं कोलम्बस से फीनिक्स तक सिनसिनाटी में रुकने और रात्रिभोज की सेवा करने की पेशकश करता
also show me flights from san francisco to pittsburgh on tuesday,हूं जो मुझे भी दिखा रहा है सैन फ्रांसिस्को से पिट्सबर्ग,,मंगलवार को मुझे सैन फ्रांसिस्को से पिट्सबर्ग जाने वाली फ्लाइट भी दिखाइए
show flights from dallas to oakland,तक उड़ानें डलास से ओकलैंड तक टुडेडे शो उड़ानें,,डलास से ओकलैंड के लिए उड़ानें दिखाएं
give me the cheapest flight from charlotte to long beach,मुझे चार्लोटे से लंबी समुद्र तट तक सबसे सस्ती उड़ान दे रही हैं मुझे,,मुझे चार्लोट से लॉन्ग बीच तक सबसे सस्ती उड़ान दें
show me all flights from san francisco to pittsburgh,दिखाएं कि सैन फ्रांसिस्को से पिट्सबर्ग तक की सभी उड़ानें,,मुझे सैन फ्रांसिस्को से पिट्सबर्ग तक सभी फ्लाइट्स दिखाएं
find me a flight on united from boston to san francisco with a stopover in denver,मुझे बोस्टन से सैन फ्रांसिस्को से एकजुट होने पर एक उड़ान मिलती है जिसमें डेनवर,,डेनवर में एक स्टॉपओवर के साथ बॉस्टन से सैन फ्रेंकोस्को तक यूनाइटेड उड़ान दें
show me the last flight from love field,शो में स्टॉपओवर होता है मुझे प्यार क्षेत्र से आखिरी उड़ान,,मुझे लव फील्ड से अंतिम उड़ान दिखाओ
what flights go from newark to boston after 5 pm,5 बजे के बाद नेवार्क से बोस्टन तक कौन सी उड़ानें जाती हैं,,पांच बजे के बाद नेवार्क से बोस्टन तक कौन सी उड़ानें जाती हैं
what are all the flights from boston to dallas,बोस्टन से डलास तक की सभी उड़ानें क्या हैं,,बस्टन से डलास तक सभी उड़ानें क्या हैं
what is the earliest flight departing san francisco and arriving in boston on november ninth,सैन फ्रांसिस्को से निकलने वाली सबसे पुरानी उड़ान है और नवम्बर नौवें स्थान पर बोस्टन में पहुंच रही है,,कौन सी उड़ान सैन फ्रांसिस्को से जल्दी निकलती है और नौवें नवम्बर स्थान पर बोस्टन में पहुँचती है
